Sentence,Readability,source,type,readability_confidence,aldi_score,aldi_label,ags_score,ags_label
بمعنى أن الدول غير المنحازة لا تقف موقف المتفرج أمام المشاكل والأحداث العالمية . . بل يكون لها دور يسير مع مصالحها هي . . لا مصالح الدول المتصارعة . .,14,barec,,1.0,0.0,low,0.294305,low
"وقد بدأ استعمال اصطلاح ( عدم الانحياز ) في مؤتمر بلغراد عام 1961 , والذي اشتركت فيه 21 دولة غير منحازة",14,barec,,1.0,0.0,low,0.387982,mid
ربع مليون,8,barec,,1.0,0.387444,mid,0.983974,high
• لماذا لا تزيد عدد النسخ إلى ربع مليون نسخة حتى يستطيع كل صديق أن يحصل على نسخته بسهولة ؟,12,barec,,1.0,0.0,low,0.421008,mid
شادي محمد إسماعيل,7,barec,,1.0,0.001262,low,0.283426,low
الرياض - السعودية,6,barec,,1.0,0.0,low,0.952678,high
• • زيادة عدد النسخ المطبوعة يتم بشكل تدريجي . .,10,barec,,1.0,0.0,low,0.559567,mid
وسنصل إلى هذا الرقم قريبا بإذن الله .,8,barec,,1.0,0.0,low,0.510282,mid
بريد,1,barec,,1.0,0.001731,low,0.906989,high
• هل يوجد نظام ( الرمز البريدي ) بدولة الإمارات ؟,12,barec,,1.0,0.0,low,0.464733,mid
إبراهيم العبدان,3,barec,,1.0,0.013556,low,0.785288,high
الرياض - السعودية,6,barec,,1.0,0.0,low,0.952678,high
• • لم يطبق هذا النظام بعد في دولة الإمارات .,10,barec,,1.0,0.0,low,0.649021,mid
ألاسكا,7,barec,,1.0,0.028757,low,0.645548,mid
هل صحيح أن في ألاسكا ستة شهور نهار . . وستة شهور ليل ؟,10,barec,,1.0,0.041847,low,0.714845,high
محمد حسني متولي,3,barec,,1.0,0.005065,low,0.4612,mid
الجيزة - مصر,3,barec,,1.0,0.0,low,0.928228,high
• • يدوم فصل الشتاء 6 شهور في الدائرة القطبية الشمالية . .,12,barec,,1.0,0.0,low,0.406316,mid
ويكون ضوء النهار ضعيفا لدرجة أن فصل الشتاء يبدو ليلا يمتد طوال هذه الشهور . .,10,barec,,1.0,0.0,low,0.409185,mid
وفي فصل الصيف يحدث العكس . .,8,barec,,1.0,0.0,low,0.25881,low
تظل الشمس ساطعة على مدار ستة أشهر .,10,barec,,1.0,0.0,low,0.43781,mid
النصيحة,12,barec,,1.0,0.0,low,0.516609,mid
• لماذا لا نخصص إحدى صفحات المجلة لنصائح يتبادلها الأصدقاء . .,8,barec,,1.0,0.0,low,0.42312,mid
ونسمي هذا الباب ( النصيحة فضيلة ) . . . ؟,8,barec,,1.0,0.0,low,0.449359,mid
جرار عدنان,2,barec,,1.0,0.103135,low,0.353301,mid
الدار البيضاء - المغرب,3,barec,,1.0,0.0,low,0.836597,high
• • لا داعي لتخصيص باب مستقل للنصائح . .,8,barec,,1.0,0.0,low,0.305677,low
يمكن نشر هذه الفقرات في باب ( بأقلام الأصدقاء ) .,7,barec,,1.0,0.008721,low,0.633416,mid
الاتحاد,12,barec,,1.0,0.007608,low,0.597896,mid
• متى تم توحيد الإمارات في دولة واحدة ؟,5,barec,,1.0,0.0,low,0.687793,high
وما هي عاصمتها ؟,8,barec,,1.0,0.009379,low,0.177712,low
نائل سليم خليف,3,barec,,1.0,0.012141,low,0.293293,low
عمان - الأردن,3,barec,,1.0,8.7e-05,low,0.932031,high
• • أعلن اتحاد دولة الإمارات العربية المتحدة في 2 ديسمبر عام 1971 . .,12,barec,,1.0,0.0,low,0.701137,high
وعاصمتها أبو ظبي .,8,barec,,1.0,0.28833,low,0.568663,mid
هيئة سياسية,14,barec,,1.0,0.0,low,0.359335,mid
كثيرا ما أرى على أرقام بعض السيارات كلمة ( هيئة سياسية ) فما المقصود بذلك ؟,12,barec,,1.0,0.022781,low,0.310526,low
عبد الله سعيد علي,7,barec,,1.0,0.015825,low,0.408636,mid
السويق - سلطنة عمان,12,barec,,1.0,0.012247,low,0.879419,high
• • السيارات التي يستعملها الدبلوماسيون . . أي رجال السفارات المعتمدون لدى الدولة تحمل هذه الجملة ( هيئة سياسية ) .,15,barec,,1.0,0.0,low,0.596079,mid
لا يجوز تفتيش السيارة أو القبض على سائقها أو محاكمته إلا في حالات خاصة .,12,barec,,1.0,0.0,low,0.601825,mid
ما معنى كلمة . . ( التنمية ) ؟,12,barec,,1.0,0.0,low,0.726095,high
سالم مرهون مبارك,3,barec,,1.0,0.002138,low,0.342344,mid
الخابورة - سلطنة عمان,12,barec,,1.0,0.019928,low,0.434084,mid
يقصد بالتنمية . . خطة اقتصادية لزيادة الإنتاج . . ورفع مستوى المعيشة للأفراد .,15,barec,,1.0,0.0,low,0.492745,mid
الأصيل,3,barec,,1.0,0.007353,low,0.646501,mid
ما هي علامات وصفات الحصان العربي الأصيل ؟,5,barec,,1.0,0.0,low,0.742242,high
أحمد بالقاسم خليفة,3,barec,,1.0,0.0,low,0.623066,mid
المدينة المنورة - السعودية,11,barec,,1.0,0.0,low,0.894341,high
الحصان العربي . . قوي . . رشيق . . جميل . . سريع .,7,barec,,1.0,0.102013,low,0.444517,mid
الدينار,11,barec,,1.0,0.001535,low,0.894226,high
• كم يساوى الدينار الكويتي بالنسبة لدرهم الإمارات ؟,7,barec,,1.0,0.039689,low,0.487482,mid
عثمان سالم حسن,3,barec,,1.0,0.0,low,0.687244,high
الدوحة - قطر,3,barec,,1.0,0.0,low,0.937276,high
بين كسلان وأصدقائه,7,barec,,1.0,0.014458,low,0.571316,mid
• هل أنت عبقري ؟,7,barec,,1.0,0.0,low,0.553834,mid
مفضل عبد القادر أبو طالب,4,barec,,1.0,0.013242,low,0.720841,high
صنعاء - اليمن,3,barec,,1.0,0.0,low,0.896039,high
• • وهل أنت كذلك ؟,8,barec,,1.0,0.0,low,0.264631,low
طوابع,7,barec,,1.0,0.0,low,0.950665,high
ما هي فائدة هواية جمع الطوابع ؟,7,barec,,1.0,0.095056,low,0.636832,mid
وكيف يمكنني ممارسة هذه الهواية ؟,8,barec,,1.0,2e-06,low,0.487316,mid
وديع عبد الرحيم باوزير,5,barec,,1.0,0.007118,low,0.220734,low
حضرموت - اليمن الديمقراطية,14,barec,,1.0,0.008466,low,0.679186,high
"• • هواية جمع الطوابع لها فوائد ثقافية كبيرة , هي التعرف على معلومات جديدة لبلدان كثيرة . . بالإضافة إلى فوائد مادية محتملة هي بيع بعض الطوابع النادرة بأثمان عالية . .",12,barec,,1.0,0.0,low,0.429725,mid
ويمكنك ممارسة هذه الهواية بالبدء في جمع الطوابع . . ومبادلة الأصدقاء والتعرف على الهواة . . وقراءة بعض الكتب عن الطوابع .,11,barec,,1.0,0.0,low,0.390327,mid
تاريخ ميلادي,3,barec,,1.0,0.007759,low,0.673427,high
ولدت يوم 25 فبراير عام 1970 . .,10,barec,,1.0,0.0,low,0.753254,high
وأريد معرفة تاريخ ميلادي بالتقويم الهجري ؟,12,barec,,1.0,0.006081,low,0.374026,mid
محمد صدقي محمد,7,barec,,1.0,0.0,low,0.731835,high
طما - مصر,7,barec,,1.0,0.231831,low,0.392562,mid
يوافق 19 ذو القعدة عام 1389 هجرية .,12,barec,,1.0,0.0,low,0.689114,high
• ولدت يوم 15 محرم عام 1388 هجرية . .,10,barec,,1.0,0.0,low,0.708596,high
وأريد معرفة تاريخ ميلادي بالتقويم الميلادي ؟,8,barec,,1.0,0.006329,low,0.355176,mid
ماجد عبد الله,3,barec,,1.0,0.0,low,0.487195,mid
الرياض - السعودية,6,barec,,1.0,0.0,low,0.952678,high
يوافق 13 إبريل عام 1968 ميلادية .,12,barec,,1.0,0.0,low,0.710195,high
صداقة,3,barec,,1.0,0.053032,low,0.448344,mid
• لماذا لا تساهم المجلة في تقوية أواصر الصداقة بين أبناء الوطن العربي وذلك بتشجيع اللقاءات خلال العطلة الصيفية ؟,12,barec,,1.0,0.0,low,0.438305,mid
فارس بيساني,7,barec,,1.0,0.68608,high,0.574823,mid
صيدا - لبنان,7,barec,,1.0,0.0,low,0.907779,high
• • أحاول الآن تقوية أواصر الصداقة بين أبناء الوطن العربي عن طريق المجلة . .,12,barec,,1.0,0.0,low,0.494733,mid
ثم تأتي اللقاءات بعد ذلك .,8,barec,,1.0,0.0,low,0.195549,low
بريد القراء,11,barec,,1.0,0.0,low,0.772991,high
• ما هو عدد الرسائل التي تصل يوميا إلى المجلة ؟,10,barec,,1.0,0.0,low,0.711219,high
سليمان موسى ميمني,12,barec,,1.0,0.3834,mid,0.685194,high
مكة المكرمة - السعودية,6,barec,,1.0,0.001139,low,0.910188,high
مئات الرسائل . . وهي تلقى عنايتنا الكاملة • •,7,barec,,1.0,0.001669,low,0.532044,mid
إشراف,12,barec,,1.0,0.001782,low,0.578166,mid
• من الذي يقوم بالإشراف على طبع المجلة ؟,12,barec,,1.0,0.0,low,0.496311,mid
عبد الله أحمد خليل,3,barec,,1.0,0.0,low,0.617835,mid
صنعاء - اليمن,3,barec,,1.0,0.0,low,0.896039,high
• • هناك عدد من المسئولين عن طبع المجلة . .,5,barec,,1.0,0.0,low,0.683984,high
يشرف عليهم سكرتير التحرير .,11,barec,,1.0,0.003813,low,0.268621,low
من . . وإلى,4,barec,,1.0,0.489456,mid,0.592935,mid
من الصديق حسن علي بو عيسى - السعودية - الإحساء - ص . ب 1223,13,barec,,1.0,0.088417,low,0.692511,high
الرمز البريدي : 31982 . .,3,barec,,1.0,0.024218,low,0.753554,high
إلى كل الأصدقاء ( هوية التعارف ),7,barec,,1.0,0.0,low,0.605418,mid
أرجو المراسلة .,7,barec,,1.0,0.004383,low,0.194266,low
ماجد,1,barec,,1.0,0.006376,low,0.84746,high
عصابة الخمسة . .,5,barec,,1.0,0.00372,low,0.418568,mid
في مغامرة جديدة,4,barec,,1.0,0.094125,low,0.387551,mid
المستحيلات الثلاثة !,5,barec,,1.0,0.0,low,0.656689,mid
سيناريو : جمال سليم,12,barec,,1.0,0.046555,low,0.578908,mid
رسوم : حجازي,7,barec,,1.0,0.000382,low,0.696454,high
وماذا بعد الاستمتاع بأكل السمك المشوي في هذا المكان الجميل يا سيادة القاضي عادل ؟,10,barec,,1.0,0.002202,low,0.412061,mid
الاستمتاع بدفع الحساب يا سيادة وكيل النيابة عزام !,11,barec,,1.0,0.000919,low,0.373359,mid
شكرا لكما,8,barec,,1.0,0.005648,low,0.548555,mid
إلى أين يا صديقنا الضابط يقظان ؟,9,barec,,1.0,0.0153,low,0.445536,mid
"إلى البيت لأنام قليلا , فعندي عمل في المساء",8,barec,,1.0,0.000179,low,0.525438,mid
هل قرأت صحف اليوم ؟,7,barec,,1.0,0.0,low,0.526874,mid
قرأت العناوين الرئيسية . . .,7,barec,,1.0,0.0,low,0.711104,high
استمرار الاشتباكات على خطوط التماس في لبنان .,12,barec,,1.0,0.0,low,0.541059,mid
إذن اقرأ هذا الخبر . .,7,barec,,1.0,0.0,low,0.307532,low
"العالم الأثري البروفسور فخري يعثر على أحد المستحيلات الثلاثة , وهي العنقاء",12,barec,,1.0,0.0,low,0.382262,mid
ما الذي يضحكك . . . ؟,10,barec,,1.0,0.016159,low,0.430723,mid
هذا الخبر !,3,barec,,1.0,0.011236,low,0.662366,high
فليس من المعقول أن يعثر البروفسور فخري على طائر خرافي لا وجود له . .,12,barec,,1.0,0.0,low,0.178641,low
إن العثور على ديناصور أسهل من العثور على العنقاء يا وكيل النيابة !,11,barec,,1.0,0.038802,low,0.332498,mid
ماذا ؟,5,barec,,1.0,0.0,low,0.270815,low
العنقاء ؟,12,barec,,1.0,0.004252,low,0.288745,low
تقول أن عصابة الخمسة وضعت خطة للاستيلاء عليها,12,barec,,1.0,0.0,low,0.437041,mid
تساوي أكثر من مليون دولار . .,7,barec,,1.0,0.0,low,0.634084,mid
هل هذا معقول ؟,7,barec,,1.0,0.0,low,0.521487,mid
وفي مركز العصابة . . .,8,barec,,1.0,0.019877,low,0.605822,mid
كل الذي أريد أن أعرفه قبل وضع خطة لسرقة العنقاء ما هي العنقاء هذه ؟,12,barec,,1.0,0.000601,low,0.439207,mid
أهي جوهرة ثمينة ؟ أم لوحة لفنان كبير وعظيم . . . ؟ أم قطعة من الذهب الخالص,9,barec,,1.0,0.00381,low,0.541636,mid
لا أعرف شيئا عن العنقاء أكثر من أنها موجودة في بيت البروفسور فخري العالم الأثري وأنها لتساوي أكثر من مليون دولار .,12,barec,,1.0,0.0,low,0.507868,mid
تعال يا حاقد . .,9,barec,,1.0,0.485766,mid,0.596007,mid
لماذا تتسلل كلص فاشل !,12,barec,,1.0,0.008858,low,0.333779,mid
هل عرفت مكان البروفسور فخري ؟,12,barec,,1.0,0.0,low,0.613803,mid
"نعم يا زعيمي غاضب , إنه ليكن في شارع 36 شقة 14",10,barec,,1.0,0.060333,low,0.439797,mid
وها هو ناقم يا زعيمي . .,9,barec,,1.0,0.441062,mid,0.302476,low
إنه سيخبرنا إذا ما كانت شقة البروفسور تحت المراقبة,10,barec,,1.0,0.017152,low,0.339979,mid
لا يا زعيمي غاضب . .,9,barec,,1.0,0.078023,low,0.409412,mid
لم أجد حول بيت البروفسور أي رجل من الشرطة السرية !,12,barec,,1.0,0.0,low,0.255809,low
وأين هادي ؟,8,barec,,1.0,0.126563,low,0.683174,high
إنه المكلف بمعرفة حركة البروفسور فخري !,10,barec,,1.0,0.0,low,0.296327,low
ما هذه الضجة . . . ؟,5,barec,,1.0,0.000522,low,0.601091,mid
إنه هو -,10,barec,,1.0,0.029521,low,0.794377,high
ألا تحمل مفتاحا ؟,8,barec,,1.0,0.0,low,0.4686,mid
البروفسور فخري لا يتحرك من بيته إلا صباحا . . ولمدة ساعتين . .,12,barec,,1.0,0.0,low,0.343225,mid
يذهب للجامعة ليلقي محاضرته ثم يعود إلى بيته ويمكث فيه ولا يستقبل أحدا,10,barec,,1.0,0.018315,low,0.239715,low
بعد هذه المعلومات سأضع خطة سرقة العنقاء فورا . .,8,barec,,1.0,0.0,low,0.339535,mid
هذه العملية لا بد أن تنجح !,10,barec,,1.0,0.0037,low,0.233265,low
وفى مكان آخر . . . .,8,barec,,1.0,0.005144,low,0.738128,high
هل تظن أن عصابة الخمسة سوف تتحرك لتستولي على العنقاء ؟,12,barec,,1.0,0.000525,low,0.233581,low
وهل تظن أننا يجب أن نتصل بالبروفسور فخري لنحذره,10,barec,,1.0,0.0,low,0.205899,low
السلام عليكم ورحمة الله !,3,barec,,1.0,0.0,low,0.349478,mid
وعليكم السلام ورحمة الله وبركاته . .,8,barec,,1.0,0.0,low,0.53799,mid
أية خدمة يا سيدي ؟,9,barec,,1.0,0.74648,high,0.633338,mid
ما هذا ؟,5,barec,,1.0,0.000836,low,0.878487,high
ألا تعرفاني ؟,9,barec,,1.0,0.013455,low,0.592977,mid
لم نتشرف بمعرفتك بعد !,8,barec,,1.0,0.0,low,0.11959,low
أنا الضابط يقظان .,3,barec,,1.0,0.102381,low,0.356859,mid
ولماذا تتنكر في هذه الملابس ؟,8,barec,,1.0,0.0,low,0.257319,low
لقد اتفقت مع البروفسور فخري . .,10,barec,,1.0,0.0,low,0.355642,mid
سوف أعمل مساعدا له هذه الليلة فقط . .,8,barec,,1.0,0.0,low,0.393899,mid
ما رأيكم ؟ ! !,5,barec,,1.0,0.008922,low,0.733677,high
وهل انزعج عندما علم أن عصابة الخمسة ربما تهاجم بيته ! !,10,barec,,1.0,0.0,low,0.305015,low
وفى بيت البروفسور فخري . . .,8,barec,,1.0,0.0,low,0.355362,mid
أرجو ألا يكون وجودي مزعجا لك يا بروفسور,10,barec,,1.0,0.017975,low,0.338927,mid
سأجلس بعيدا حتى تستطيع العمل في هدوء .,8,barec,,1.0,0.0,low,0.181525,low
شكرا لك يا حضرة الضابط,9,barec,,1.0,0.025028,low,0.325969,low
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid
أنا البروفسور فخري . .,12,barec,,1.0,0.001054,low,0.595953,mid
نحن جمعية تكريم العلماء,7,barec,,1.0,0.0,low,0.750111,high
تشرفنا . .,7,barec,,1.0,0.318646,low,0.274287,low
ماذا تريدون ؟,5,barec,,1.0,0.0,low,0.109852,low
معلومات عن العنقاء لا . .,12,barec,,1.0,0.0,low,0.534712,mid
ليس عندي وقت . .,10,barec,,1.0,0.019547,low,0.1896,low
غدا . .,4,barec,,1.0,0.000911,low,0.374786,mid
نعم غدا . .,7,barec,,1.0,0.001143,low,0.413394,mid
يبدو أن التليفون قد تعطل . .,10,barec,,1.0,0.018432,low,0.379004,mid
هذا أفضل حتى أعمل في هدوء !,8,barec,,1.0,0.004136,low,0.546779,mid
يبدو أن التليفون لم يتعطل !,10,barec,,1.0,0.141166,low,0.354318,mid
نعم . .,1,barec,,1.0,0.002443,low,0.562751,mid
أنا البروفسور فخري وليس عندي وقت .,10,barec,,1.0,0.036277,low,0.298147,low
"نحن مجلة , أضواء العلم . .",7,barec,,1.0,0.0,low,0.638023,mid
هل الخبر المنشور عن عثورك على العنقاء صحيح ؟,12,barec,,1.0,0.0,low,0.36718,mid
وهل من المعقول أن تعثر على طائر خرافي لا وجود له ؟,8,barec,,1.0,0.003853,low,0.236514,low
وهل تسمح لمندوب مجلتنا بلقاء معك لتوضيح الحقيقة لملايين القراء ؟ !,8,barec,,1.0,0.0,low,0.279818,low
أنا آسف يا سيدي . .,9,barec,,1.0,0.010354,low,0.787868,high
ليس عندي وقت . .,10,barec,,1.0,0.019547,low,0.1896,low
غدا . .,4,barec,,1.0,0.000911,low,0.374786,mid
غدا بإذن الله !,7,barec,,1.0,0.002432,low,0.293919,low
عفوا يا سيادة البروفسور هذا جرس الباب وليس جرس التليفون . .,10,barec,,1.0,0.00492,low,0.413954,mid
يبدو أن هؤلاء الناس متفقون على إضاعة وقتي . .,10,barec,,1.0,0.0,low,0.389833,mid
"استرح أنت يا سيدي , سأفتح أنا كما اتفقنا",9,barec,,1.0,0.162294,low,0.32001,low
من أنت ؟ !,5,barec,,1.0,0.003454,low,0.767283,high
أنا مساعد البروفسور فخري . .,7,barec,,1.0,0.0,low,0.649824,mid
لا نعرف أن للبروفسور فخري مساعدا !,12,barec,,1.0,0.006883,low,0.411359,mid
إنه مساعدي فعلا لكن من أنتم ؟,10,barec,,1.0,0.014628,low,0.425846,mid
نحن عمال التليفون . .,7,barec,,1.0,0.011842,low,0.539864,mid
لكنني لم أستدع أحدا . .,10,barec,,1.0,0.0,low,0.281758,low
والتليفون لم يتعطل بعد,8,barec,,1.0,0.007477,low,0.474434,mid
أعفوني من الإصلاح الآن . .,12,barec,,1.0,0.170037,low,0.495748,mid
ليس عندي وقت . .,10,barec,,1.0,0.019547,low,0.1896,low
يجب أن تسمح لهم بالدخول يا سيدي,9,barec,,1.0,0.0,low,0.201194,low
إنهم عمال مجتهدون يؤدون واجبهم !,10,barec,,1.0,0.284971,low,0.356119,mid
لن نستغرق وقتا طويلا أين التليفون . . . ؟ !,8,barec,,1.0,0.005313,low,0.448846,mid
وماذا نفعل الآن . .,8,barec,,1.0,0.0,low,0.317388,low
هل نبلغ الشرطة ؟,7,barec,,1.0,0.0,low,0.627951,mid
هل نسيت يا سيدي أنني رجل شرطة ؟,10,barec,,1.0,0.0,low,0.751519,high
جرس الباب مرة أخرى . .,7,barec,,1.0,0.000444,low,0.657226,mid
لا بد أنها بقية العصابة . . . !,10,barec,,1.0,0.008784,low,0.320441,low
اطمئن !,7,barec,,1.0,0.000948,low,0.436511,mid
سأفتح أنا الباب !,8,barec,,1.0,0.010627,low,0.762296,high
أهلا بالقاضي عادل . .,8,barec,,1.0,0.003965,low,0.442534,mid
أهلا بعزام وكيل النيابة الهمام !,12,barec,,1.0,0.046017,low,0.558961,mid
حاقد وناقم وراسب هنا !,9,barec,,1.0,0.469089,mid,0.277867,low
متنكرون في شكل عمال تليفون !,7,barec,,1.0,0.082192,low,0.331747,mid
وهادي وغاضب في الخارج ينتظران في سيارة نقل كبيرة لينقلوا فيها العنقاء !,8,barec,,1.0,0.104497,low,0.295525,low
لا داعي لإصلاح التليفون !,8,barec,,1.0,0.006602,low,0.324402,low
أنا الضابط يقظان . .,3,barec,,1.0,0.079532,low,0.382529,mid
ولا داعي للمقاومة !,6,barec,,1.0,0.0,low,0.244004,low
المكان محاصر,3,barec,,1.0,0.007162,low,0.410641,mid
بالمناسبة . . لا توجد عنقاء هنا . .,8,barec,,1.0,0.013389,low,0.304564,low
لكن توجد معلومات عنها . .,8,barec,,1.0,0.0,low,0.250597,low
العنقاء هي رمز البعث والخلود في الأساطير المصرية القديمة,14,barec,,1.0,0.0,low,0.435309,mid
ويقال إنها لما بلغت 500 سنة أحرقت نفسها وبرزت من دخانها عنقاء أخرى . .,14,barec,,1.0,0.0,low,0.31992,low
"وقد اعتبرها العرب أحد المستحيلات الثلاثة , العنقاء والغول والخل الوفي .",16,barec,,1.0,0.0,low,0.364264,mid
كنا ننوي سرقة العنقاء فقط لم نفكر في سرقة الغول أو الخل الوفي .,10,barec,,1.0,0.0,low,0.37286,mid
"عندما أدليت بالحديث الصحفي الذي قلت فيه : إنني عثرت على العنقاء , لم أكن أقصد بذلك أنني عثرت على العنقاء فعلا",11,barec,,1.0,0.0,low,0.253509,low
مفهوم طبعا !,8,barec,,1.0,0.005432,low,0.438955,mid
"كنت فرحا لأنني عثرت على اكتشاف كنت أظنه مستحيلا , حجر أثري يرجع تاريخه إلى ثلاثة آلاف سنة , فقلت أنني عثرت على العنقاء",13,barec,,1.0,0.0,low,0.411044,mid
وفى مركز الشرطة . .,8,barec,,1.0,0.002884,low,0.638573,mid
عندما قرأنا الخبر صدقنا أن العنقاء موجودة فعلا عند البروفسور وأنها تساوي مليون دولار,14,barec,,1.0,0.008174,low,0.335341,mid
"ولماذا فكرتم في سرقة العنقاء التي تساوي مليون دولار فقط , ولم تفكروا في سرقة لاعب الكرة مارادونا الذي يساوى 15 مليون دولار ؟",11,barec,,1.0,0.0,low,0.39876,mid
مارادونا أغنى من العنقاء !,12,barec,,1.0,0.000242,low,0.251473,low
"لكنه يلعب في إيطاليا , ونحن لا نحب السفر . .",10,barec,,1.0,0.0,low,0.451723,mid
لكن إذا حضر مارادونا هنا بنفسه ليلعب بعض المباريات . . نستطيع أن نقوم بسرقته !,13,barec,,1.0,0.006752,low,0.352201,mid
"لن تتمكنوا من سرقة العنقاء أو مارادونا , فسوف تدخلون السجن .",12,barec,,1.0,0.0,low,0.26118,low
الآن .,7,barec,,1.0,0.000857,low,0.497952,mid
بأقلام الأصدقاء,7,barec,,1.0,0.001174,low,0.438094,mid
الأدب الجاهلي,15,barec,,1.0,0.004425,low,0.688391,high
الأدب الجاهلي هو أدب الفترة التي سبقت ظهور الإسلام بنحو قرن ونصف القرن . .,14,barec,,1.0,0.0,low,0.599229,mid
وقد نشأ هذا الأدب في الجزيرة العربية . .,10,barec,,1.0,0.0,low,0.542531,mid
"يستوحي صوره وأفكاره من البيئة الطبيعية والاجتماعية , ويرسم لنا بشعره ونثره صورة واضحة لهذه الطبيعة معبرا عنها أصدق التعبير .",12,barec,,1.0,0.0,low,0.357681,mid
